Project,2025-03-14T00:00:00.000Z,2025-03-15T00:00:00.000Z,2025-03-16T00:00:00.000Z,2025-03-17T00:00:00.000Z,2025-03-18T00:00:00.000Z,2025-03-19T00:00:00.000Z,2025-03-20T00:00:00.000Z
ml-stream-processor,7.98758,7.28192,7.15651,7.42484,6.60228,8.1379,7.27399
krp-testing,18.03854,18.03852,18.03852,18.03853,18.03867,18.03855,18.03853
net-sec-supporter,1.152,1.152,1.152,1.152,1.152,1.152,1.152
karrot-chat-ui,4.29821,4.47626,4.51732,4.53406,4.52433,4.5295,4.5224
aidan-node,0.00015,0.00014,0.00014,0.00014,0.00014,0.00015,0.00014
data-pipeline,45.46468,44.96355,44.90692,45.0192,44.8657,44.89487,44.9749
pickup-draft,19.48824,19.48824,19.48824,19.48824,19.48824,19.48824,19.48824
deployment-anomaly-detector,0.00032,0.00032,0.00031,0.00032,0.00035,0.00032,0.00033
business-gradle-s3-build-cache,0.04296,0.0133,0.0131,0.0293,0.02361,0.02189,0.02794
checkpoint,596.56137,578.85527,594.47786,581.55155,572.80153,584.70787,617.22447
internal,2.304,2.304,2.304,2.304,2.304,2.304,2.304
rocket-chat-web-spa,19.47947,18.06272,17.69218,19.77786,19.73696,19.97217,19.4376
unknown-db,195.6593,193.58847,193.87659,194.05242,194.25111,194.41633,201.93447
query-rabbit,6.09034,6.09034,6.09034,6.09034,6.09034,6.09034,6.09034
ads-ambassador,0.00727,0.00284,0.00278,0.00507,0.00508,0.00379,0.00578
sharing,0.00196,0.00192,0.00189,0.00203,0.00193,0.00193,0.0019
search-engine,19.584,19.584,19.584,19.584,19.584,19.584,19.584
genai-hackaton-2024-lost-and-found,0.00012,0.00011,0.00011,0.00012,0.00011,0.00012,0.00012
genai-hackaton-2024-revshot,0.00012,0.00013,0.00015,0.00012,0.00015,0.00012,0.00014
tfx-base-example,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049
rocket-chat-fileservice,35.59525,45.63,45.65837,38.1208,42.32817,33.97235,35.98241
community-web-apartment,0.576,0.576,0.576,0.576,0.576,0.576,0.576
lambda-chatgpt-bot,0.09804,0.0936,0.0936,0.09697,0.10268,0.09468,0.09902
lambda-daangni-bot,0.00212,0.00413,0.00413,0.06171,0.1007,0.0979,0.09585
checkin,131.534,131.52799,131.65306,131.78044,131.80325,131.8571,131.86383
strimizi-kafka-operator,0.06457,0.06459,0.06457,0.06458,0.06462,0.06456,0.06456
k8s-audit-api-cloudwatch-athena,0.68859,0.61487,0.62707,0.71524,0.99797,0.677,0.74841
commerce,65.55722,72.02886,69.99318,74.07588,73.92495,75.86291,79.68443
icon-pilot,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049
iros-call-lambda,0.00049,0.00048,0.00048,0.00049,0.00048,0.00048,0.00048
